"","No. Of Breweries","State"
"1",7," AK"
"2",3," AL"
"3",2," AR"
"4",11," AZ"
"5",39," CA"
"6",47," CO"
"7",8," CT"
"8",1," DC"
"9",2," DE"
"10",15," FL"
"11",7," GA"
"12",4," HI"
"13",5," IA"
"14",5," ID"
"15",18," IL"
"16",22," IN"
"17",3," KS"
"18",4," KY"
"19",5," LA"
"20",23," MA"
"21",7," MD"
"22",9," ME"
"23",32," MI"
"24",12," MN"
"25",9," MO"
"26",2," MS"
"27",9," MT"
"28",19," NC"
"29",1," ND"
"30",5," NE"
"31",3," NH"
"32",3," NJ"
"33",4," NM"
"34",2," NV"
"35",16," NY"
"36",15," OH"
"37",6," OK"
"38",29," OR"
"39",25," PA"
"40",5," RI"
"41",4," SC"
"42",1," SD"
"43",3," TN"
"44",28," TX"
"45",4," UT"
"46",16," VA"
"47",10," VT"
"48",23," WA"
"49",20," WI"
"50",1," WV"
"51",4," WY"
